DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location,Threat,Males,Females,No Gender
101217065,6/18/2010,6/17/2010,1600,12,77th Street,1208,210,ROBBERY,0319 0326 0334 0342 0344 0355 0444 1251 1313 1822,12,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,4700 S  HOOVER                       ST,,"(34.0006, -118.2871)",1,1,0,0
120605069,1/14/2012,1/1/2012,1500,6,Hollywood,669,354,THEFT OF IDENTITY,0100 0928,57,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5300    VIRGINIA                     AV,,"(34.092, -118.3046)",0,1,0,0
131012220,7/9/2013,7/9/2013,720,10,West Valley,1023,956,"LETTERS, LEWD",319,,M,O,726,POLICE FACILITY,,,AA,Adult Arrest,956,,,,19000    VANOWEN                      ST,,"(34.1939, -118.547)",0,1,0,0
120510203,4/29/2012,4/29/2012,1945,5,Harbor,566,626,INTIMATE PARTNER - SIMPLE ASSAULT,1813 0416 2000,41,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,1300 S  PALOS VERDES                 ST,,"(33.7324, -118.2814)",1,0,1,0
110405980,2/15/2011,2/14/2011,1800,4,Hollenbeck,497,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0430 0913 1258,10,M,H,501,SINGLE FAMILY DWELLING,114,AIR PISTOL/REVOLVER/RIFLE/BB GUN,IC,Invest Cont,230,,,,1300    GLENNFIELD                   CT,,"(34.0212, -118.2085)",1,1,0,0
131218156,7/30/2013,7/29/2013,1230,12,77th Street,1268,624,BATTERY - SIMPLE ASSAULT,0444 0913 1300 0400,37,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,100 E  84TH                         ST,,"(33.9628, -118.2739)",1,0,1,0
130111405,4/29/2013,4/29/2013,341,1,Central,143,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0216 1236,47,M,O,203,OTHER BUSINESS,,,AO,Adult Other,440,,,,400 S  BROADWAY,,"(34.0495, -118.2494)",0,1,0,0
100618351,7/16/2010,7/15/2010,2230,6,Hollywood,615,330,BURGLARY FROM VEHICLE,0344 1605,24,F,W,101,STREET,,,IC,Invest Cont,330,,,,3300 N  KNOLL                        DR,,"(34.1289, -118.343)",0,0,1,0
121522877,12/1/2012,12/1/2012,1330,15,N Hollywood,1543,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,47,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,AO,Adult Other,745,,,,MAGNOLIA                     BL,LAUREL CANYON                BL,"(34.1649, -118.3965)",0,1,0,0
100304200,1/4/2010,1/4/2010,1650,3,Southwest,361,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,26,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,626,,,,3900    URSULA                       AV,,"(34.0163, -118.3524)",0,0,1,0
111217810,7/10/2011,7/10/2011,1455,12,77th Street,1239,210,ROBBERY,0336 0342 0345 0344 0444 1822,52,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,5900 S  VERMONT                      AV,,"(33.9875, -118.2915)",1,0,1,0
101416278,7/7/2010,7/7/2010,100,14,Pacific,1416,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 1300,43,F,W,101,STREET,,,IC,Invest Cont,331,,,,3400    ASHWOOD                      AV,,"(34.0051, -118.45)",0,0,1,0
110808850,4/20/2011,4/19/2011,1730,8,West LA,841,946,OTHER MISCELLANEOUS CRIME,1300 1501,65,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,946,,,,1400    ARMACOST                     AV,,"(34.0439, -118.4619)",0,1,0,0
100704601,1/13/2010,1/13/2010,2045,7,Wilshire,775,624,BATTERY - SIMPLE ASSAULT,0444 2000,41,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1600 S  LONGWOOD                     AV,,"(34.0463, -118.3429)",1,0,1,0
102114573,7/20/2010,6/15/2010,1245,21,Topanga,2125,440,THEFT PLAIN - PETTY ($950 & UNDER),344,27,M,W,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,7800    CANOGA                       AV,,"(34.2119, -118.5975)",0,1,0,0
121719517,10/27/2012,10/27/2012,1500,17,Devonshire,1785,440,THEFT PLAIN - PETTY ($950 & UNDER),344,45,F,W,738,LIBRARY,,,IC,Invest Cont,440,,,,9000    DARBY                        AV,,"(34.2338, -118.5339)",0,0,1,0
110119478,11/4/2011,11/4/2011,945,1,Central,157,624,BATTERY - SIMPLE ASSAULT,416,20,F,B,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,500 S  SAN PEDRO                    ST,,"(34.0442, -118.2439)",1,0,1,0
120808435,4/17/2012,4/16/2012,2338,8,West LA,884,310,BURGLARY,1609 0344,61,M,O,219,CLEANER/LAUNDROMAT,,,IC,Invest Cont,310,,,,10800 W  OLYMPIC                      BL,,"(34.045, -118.4299)",0,1,0,0
102006832,2/12/2010,2/12/2010,215,20,Olympic,2045,626,INTIMATE PARTNER - SIMPLE ASSAULT,0306 0416 0429 0432 0602 0913 1243 2000,39,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,900 S  MARIPOSA                     AV,,"(34.0559, -118.2987)",1,0,1,0
131310470,4/29/2013,4/26/2013,130,13,Newton,1313,330,BURGLARY FROM VEHICLE,344,12,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,330,,,,1700 S  CENTRAL                      AV,,"(34.0258, -118.2494)",0,1,0,0
120809378,5/9/2012,5/9/2012,1010,8,West LA,831,624,BATTERY - SIMPLE ASSAULT,0416 1300 1310 0919 1317 1309,45,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,11900    GORHAM                       AV,,"(34.0515, -118.4692)",1,1,0,0
111218886,7/22/2011,7/22/2011,1300,12,77th Street,1263,310,BURGLARY,0344 1202 1607,66,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,2100 W  82ND                         ST,,"(33.9646, -118.3156)",0,1,0,0
101224116,9/20/2010,9/19/2010,2020,12,77th Street,1266,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0344 0408 0416 0432 0443 0913 1251 1814 2000,19,F,H,101,STREET,216,SCISSORS,IC,Invest Cont,930,,,,BROADWAY,81ST                         ST,"(33.966, -118.2783)",1,0,1,0
121223061,10/3/2012,9/5/2012,1500,12,77th Street,1239,649,DOCUMENT FORGERY / STOLEN FELONY,1822 0935,30,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649,,,,1100 W  61ST                         ST,,"(33.9842, -118.2938)",0,0,1,0
101611722,6/4/2010,6/4/2010,1830,16,Foothill,1676,901,VIOLATION OF RESTRAINING ORDER,913,36,F,W,704,ELEMENTARY SCHOOL,,,IC,Invest Cont,901,,,,9000    SUNLAND                      BL,,"(34.2326, -118.3669)",0,0,1,0
122117167,10/15/2012,10/13/2012,1700,21,Topanga,2187,310,BURGLARY,1607,50,M,W,203,OTHER BUSINESS,219,SCREWDRIVER,IC,Invest Cont,310,,,,20900    VENTURA                      BL,,"(34.1664, -118.5883)",1,1,0,0
121721907,12/19/2012,12/12/2012,1000,17,Devonshire,1745,949,ILLEGAL DUMPING,1822,27,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,949,,,,10500    LINDLEY                      AV,,"(34.2609, -118.5274)",0,0,1,0
121712973,6/18/2012,6/14/2012,1800,17,Devonshire,1794,237,CHILD NEGLECT (SEE 300 W.I.C.),0553 1257,,F,H,501,SINGLE FAMILY DWELLING,301,BELT FLAILING INSTRUMENT/CHAIN,IC,Invest Cont,237,,,,18700    CHASE                        ST,,"(34.2246, -118.5404)",1,0,1,0
120100633,2/22/2012,2/21/2012,1900,1,Central,185,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",411,35,M,H,101,STREET,218,OTHER CUTTING INSTRUMENT,AO,Adult Other,230,,,,OLYMPIC,SANTEE,"(34.0386, -118.2544)",1,1,0,0
131110614,5/9/2013,5/9/2013,1215,11,Northeast,1142,330,BURGLARY FROM VEHICLE,1609 0344,29,F,W,101,STREET,,,IC,Invest Cont,330,,,,HILLHURST                    AV,FINLEY,"(34.1077, -118.2874)",0,0,1,0
100706346,2/21/2010,2/21/2010,30,7,Wilshire,735,624,BATTERY - SIMPLE ASSAULT,0305 0400,30,M,A,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5300    WILSHIRE                     BL,,"(34.0623, -118.344)",1,1,0,0
120312422,5/11/2012,5/11/2012,800,3,Southwest,391,310,BURGLARY,1609 0329 0344,53,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,4700    DON ZAREMBO                  DR,,"(34.0035, -118.3565)",0,0,1,0
100906409,2/12/2010,2/12/2010,1020,9,Van Nuys,943,624,BATTERY - SIMPLE ASSAULT,416,55,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5900    VAN NUYS                     BL,,"(34.1776, -118.4485)",1,1,0,0
131510869,5/13/2013,5/11/2013,2300,15,N Hollywood,1555,330,BURGLARY FROM VEHICLE,0344 1609 1307,23,M,H,101,STREET,,,IC,Invest Cont,330,,,,LANKERSHIM                   BL,KLING                        ST,"(34.1556, -118.369)",0,1,0,0
121212899,5/10/2012,5/9/2012,2130,12,77th Street,1269,624,BATTERY - SIMPLE ASSAULT,0416 0359 1000 1822 2004,37,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,83RD                         ST,MAIN                         ST,"(33.9642, -118.2739)",1,0,1,0
111108812,4/3/2011,4/3/2011,1400,11,Northeast,1113,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,41,F,H,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,2800    COLORADO                     BL,,"(34.1428, -118.226)",0,0,1,0
110917438,9/2/2011,8/31/2011,2030,9,Van Nuys,969,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,55,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,4900    ALCOVE                       AV,,"(34.1598, -118.4127)",0,1,0,0
131109628,4/21/2013,4/21/2013,100,11,Northeast,1129,310,BURGLARY,344,36,F,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,310,,,,ELGIN,AVENUE 65,"(34.1177, -118.178)",0,0,1,0
101808452,3/19/2010,3/19/2010,1515,18,Southeast,1842,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1300,36,F,B,122,"VEHICLE, PASSENGER/TRUCK",302,BLUNT INSTRUMENT,AA,Adult Arrest,740,,,,11100 S  BROADWAY                     ST,,"(33.9348, -118.2781)",1,0,1,0
111429823,10/28/2011,8/5/2011,1400,14,Pacific,1488,624,BATTERY - SIMPLE ASSAULT,400,32,F,H,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5700 W  CENTURY                      BL,,"(33.9455, -118.3816)",1,0,1,0
101413309,5/23/2010,5/22/2010,1330,14,Pacific,1434,310,BURGLARY,344,31,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,3700    MAY                          ST,,"(34.0039, -118.4409)",0,1,0,0
121904603,1/12/2012,1/11/2012,2355,19,Mission,1958,888,TRESPASSING,1501,26,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,,,,9700    NAGLE                        AV,,"(34.2464, -118.4434)",0,0,1,0
121306152,2/4/2012,2/4/2012,2235,13,Newton,1345,623,BATTERY POLICE (SIMPLE),0319 0448 0400 1212 1309,11,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,437,623,,,CENTRAL                      AV,42ND                         ST,"(34.0076, -118.2565)",1,1,0,0
100206970,2/24/2010,2/4/2010,900,2,Rampart,204,649,DOCUMENT FORGERY / STOLEN FELONY,923,39,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,649,,,,3800 W  SUNSET                       BL,,"(34.091, -118.2788)",0,1,0,0
130304312,1/5/2012,1/5/2012,2050,3,Southwest,329,624,BATTERY - SIMPLE ASSAULT,0444 0400 0429,25,M,A,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,2800 S  FIGUEROA                     ST,,"(34.0262, -118.2772)",1,1,0,0
101322313,10/2/2010,10/2/2010,2320,13,Newton,1351,210,ROBBERY,0302 0334 0337 0344 0352 0369 0432 1221,46,M,H,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,4200 S  BROADWAY,,"(34.0073, -118.2784)",1,1,0,0
130407060,3/18/2013,3/18/2013,1123,4,Hollenbeck,427,110,CRIMINAL HOMICIDE,0302 1309 1100 0309 0430 1402 1407 1409,20,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,110,998,,,4500    FERNTOP                      DR,,"(34.0821, -118.1899)",1,1,0,0
100811785,6/27/2010,6/27/2010,325,8,West LA,858,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,51,M,H,406,OTHER STORE,,,IC,Invest Cont,442,,,,1600 S  ROBERTSON                    BL,,"(34.0506, -118.3843)",0,1,0,0
100318681,7/29/2010,7/26/2010,2200,3,Southwest,363,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",329,65,F,B,101,STREET,,,IC,Invest Cont,740,,,,3800    VIRGINIA                     RD,,"(34.0173, -118.3393)",0,0,1,0
101718809,9/30/2010,6/1/2010,1010,17,Devonshire,1764,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0344 1803,48,M,B,405,CLOTHING STORE,,,IC,Invest Cont,668,,,,9300    TAMPA                        AV,,"(34.2564, -118.5536)",0,1,0,0
101604646,1/13/2010,1/13/2010,1110,16,Foothill,1672,330,BURGLARY FROM VEHICLE,0344 1300 1601,23,F,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,8900    LANKERSHIM                   BL,,"(34.2309, -118.3878)",0,0,1,0
122117009,10/12/2012,10/1/2012,1000,21,Topanga,2183,440,THEFT PLAIN - PETTY ($950 & UNDER),0349 0344,52,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,22700    BRENFORD                     ST,,"(34.1489, -118.621)",0,0,1,0
131718602,11/11/2013,11/8/2013,700,17,Devonshire,1756,310,BURGLARY,1202 0344 0321,80,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,10000    WISH                         AV,,"(34.2524, -118.5079)",0,0,1,0
131316150,8/11/2013,8/10/2013,2315,13,Newton,1331,330,BURGLARY FROM VEHICLE,1307 1609 0358 0327 0202,26,F,H,101,STREET,,,IC,Invest Cont,330,,,,100 W  32ND                         ST,,"(34.0201, -118.2717)",0,0,1,0
121909666,4/5/2012,4/4/2012,2100,19,Mission,1972,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0371 0906 0374 1270 0319,20,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,230,998,,,9000    BURNET                       AV,,"(34.2337, -118.4632)",1,1,0,0
101718666,9/27/2010,9/27/2010,600,17,Devonshire,1762,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",344,28,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,341,,,,9800    INDEPENDENCE                 AV,,"(34.2482, -118.5907)",0,1,0,0
121322359,11/10/2012,11/10/2012,1800,13,Newton,1394,210,ROBBERY,1259 0416 1300 1309 0346 0400 0344 1251 0334,16,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,7000 S  MAIN                         ST,,"(33.9761, -118.2739)",1,0,1,0
100709508,5/5/2010,5/4/2010,2245,7,Wilshire,721,330,BURGLARY FROM VEHICLE,0321 0344 1300 1609,26,F,W,707,GARAGE/CARPORT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,8800 W  3RD                          ST,,"(34.0736, -118.3838)",1,0,1,0
121720370,11/14/2012,11/14/2012,1000,17,Devonshire,1735,310,BURGLARY,344,22,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,17100    HORACE                       ST,,"(34.2701, -118.5056)",0,1,0,0
122119898,12/14/2012,11/6/2012,1000,21,Topanga,2143,354,THEFT OF IDENTITY,0930 1822 0377,25,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6500    WOODLAKE                     AV,,"(34.1882, -118.6315)",0,1,0,0
101310666,4/12/2010,4/8/2010,800,13,Newton,1347,237,CHILD NEGLECT (SEE 300 W.I.C.),1258,,F,H,101,STREET,,,IC,Invest Cont,237,,,,4300    LIMA                         ST,,"(34.0058, -118.2462)",0,0,1,0
111910086,4/11/2011,3/4/2011,1700,19,Mission,1993,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,0361 0515 1257,,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,,,,15100    ROSCOE                       BL,,"(34.2215, -118.4617)",1,0,1,0
131012737,7/22/2013,7/19/2013,800,10,West Valley,1023,956,"LETTERS, LEWD",,,M,O,726,POLICE FACILITY,,,AA,Adult Arrest,956,,,,19000    VANOWEN                      ST,,"(34.1939, -118.547)",0,1,0,0
130209783,4/8/2013,4/5/2013,1700,2,Rampart,265,210,ROBBERY,0369 0416 0429 0344 0377 0432,44,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,8TH                          ST,ALVARADO                     ST,"(34.0549, -118.2778)",1,1,0,0
110712488,7/21/2011,7/21/2011,1950,7,Wilshire,789,901,VIOLATION OF RESTRAINING ORDER,1501,10,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901,,,,2100    7TH                          AV,,"(34.038, -118.3248)",0,0,1,0
100312383,5/3/2010,5/2/2010,1700,3,Southwest,362,330,BURGLARY FROM VEHICLE,0344 0358 1609,40,F,B,101,STREET,,,IC,Invest Cont,330,,,,LA BREA,STOCKER,"(33.9971, -118.3578)",0,0,1,0
130316456,7/13/2013,7/13/2013,2040,3,Southwest,362,210,ROBBERY,0334 0355 0344,21,M,H,108,PARKING LOT,204,FOLDING KNIFE,IC,Invest Cont,210,,,,4600    COLISEUM                     ST,,"(34.017, -118.3471)",1,1,0,0
111315628,6/30/2011,6/29/2011,1700,13,Newton,1383,330,BURGLARY FROM VEHICLE,0344 1307 1609,19,F,H,101,STREET,,,IC,Invest Cont,330,,,,200 W  62ND                         ST,,"(33.9833, -118.2761)",0,0,1,0
100212192,5/29/2010,5/29/2010,135,2,Rampart,249,624,BATTERY - SIMPLE ASSAULT,0416 1206,25,M,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,300 S  BOYLSTON                     ST,,"(34.0568, -118.2578)",1,1,0,0
120904154,1/4/2011,1/3/2011,1430,9,Van Nuys,905,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 1402 0701,41,F,H,101,STREET,,,IC,Invest Cont,341,998,,,VAN NUYS,VALERIO,"(34.2048, -118.4488)",0,0,1,0
121520224,10/17/2012,10/16/2012,1900,15,N Hollywood,1526,330,BURGLARY FROM VEHICLE,0344 1607,65,M,H,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,6100    HAZELHURST                   PL,,"(34.1811, -118.3867)",0,1,0,0
111227175,11/22/2011,11/20/2011,2000,12,77th Street,1257,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1601 1822,31,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,420,,,,300 W  76TH                         ST,,"(33.9708, -118.2783)",0,0,1,0
131615101,10/3/2013,10/3/2013,335,16,Foothill,1684,330,BURGLARY FROM VEHICLE,1302 1609 1307 0344 1420,20,F,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,7700    LANKERSHIM                   BL,,"(34.2103, -118.3878)",0,0,1,0
101309564,3/27/2010,3/27/2010,1150,13,Newton,1395,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1243 2000,22,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,6300 S  SAN PEDRO                    ST,,"(33.9825, -118.2695)",1,0,1,0
111708435,3/26/2011,3/26/2011,2230,17,Devonshire,1713,956,"LETTERS, LEWD",1258 1501,13,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,11400    DYLAN                        PL,,"(34.2777, -118.5433)",0,0,1,0
121921450,10/21/2012,10/21/2012,2205,19,Mission,1985,626,INTIMATE PARTNER - SIMPLE ASSAULT,1813 0416 2000,41,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,8700    TOBIAS                       AV,,"(34.2279, -118.4516)",1,0,1,0
100518412,10/11/2010,10/10/2010,800,5,Harbor,557,330,BURGLARY FROM VEHICLE,0344 1300 1611,28,F,H,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,600 W  2ND                          ST,,"(33.7424, -118.2901)",0,0,1,0
112117627,10/10/2011,10/9/2011,2350,21,Topanga,2128,330,BURGLARY FROM VEHICLE,0344 1601,25,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,330,,,,20400    SATICOY                      ST,,"(34.2083, -118.5776)",1,1,0,0
100922500,12/4/2010,12/3/2010,1200,9,Van Nuys,941,330,BURGLARY FROM VEHICLE,0344 1307,35,M,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,SEPULVEDA,OXNARD,"(34.1794, -118.4662)",0,1,0,0
121506945,2/22/2012,2/20/2012,1440,15,N Hollywood,1506,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",344,43,M,H,202,LIQUOR STORE,,,IC,Invest Cont,341,,,,11000    SATICOY                      ST,,"(34.2085, -118.3703)",0,1,0,0
101604492,1/11/2010,1/11/2010,300,16,Foothill,1668,330,BURGLARY FROM VEHICLE,0344 0358 1300 1307 1609,43,M,H,101,STREET,,,IC,Invest Cont,330,,,,9800    HILLHAVEN                    AV,,"(34.2469, -118.2901)",0,1,0,0
110121396,12/10/2011,12/10/2011,2000,1,Central,111,210,ROBBERY,0344 0355,18,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,ALAMEDA,LOS ANGELES                  ST,"(34.0578, -118.2371)",1,1,0,0
130610455,3/31/2013,3/31/2013,1740,6,Hollywood,668,350,"THEFT, PERSON",0352 1300 1309 0346 0326,37,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,350,,,,VAN NESS,VIRGINIA,"(34.0918, -118.3157)",1,1,0,0
121709466,4/10/2012,4/7/2012,900,17,Devonshire,1738,440,THEFT PLAIN - PETTY ($950 & UNDER),344,58,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,10900    DEMPSEY                      AV,,"(34.2683, -118.4771)",0,1,0,0
130112309,5/13/2013,5/13/2013,1420,1,Central,195,210,ROBBERY,1302 1402 0906 0302 0355 0444 0344 0371 0418 0369,22,F,H,108,PARKING LOT,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,210,910,998,,1300    SANTEE                       ST,,"(34.0352, -118.2583)",1,0,1,0
120905166,1/23/2012,1/20/2012,1630,9,Van Nuys,989,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",329,39,F,W,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,,IC,Invest Cont,740,,,,13500    VENTURA                      BL,,"(34.1474, -118.4271)",0,0,1,0
120209600,4/13/2012,4/12/2012,2000,2,Rampart,256,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0906 0311 0917,58,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,,,,600 S  BONNIE BRAE                  ST,,"(34.0585, -118.2725)",0,1,0,0
111516443,8/23/2011,8/22/2011,1800,15,N Hollywood,1555,330,BURGLARY FROM VEHICLE,0344 1609,52,F,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,10900    HORTENSE                     ST,,"(34.1545, -118.3684)",0,0,1,0
110900636,3/13/2011,3/12/2011,1225,9,Van Nuys,964,649,DOCUMENT FORGERY / STOLEN FELONY,0923 1402 1822,,M,W,602,BANK,,,IC,Invest Cont,649,998,,,13700    RIVERSIDE                    DR,,"(34.1576, -118.4312)",0,1,0,0
120917581,9/12/2012,9/12/2012,1300,9,Van Nuys,935,440,THEFT PLAIN - PETTY ($950 & UNDER),344,28,F,W,602,BANK,,,AA,Adult Arrest,440,,,,6300    VAN NUYS                     BL,,"(34.1847, -118.4487)",0,0,1,0
101620401,11/18/2010,11/16/2010,1200,16,Foothill,1621,480,BIKE - STOLEN,344,32,M,H,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,480,,,,13900    PAXTON                       ST,,"(34.2665, -118.4361)",0,1,0,0
120306670,2/13/2012,2/13/2012,640,3,Southwest,393,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1309 1300 0329 1307,35,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,43RD                         ST,DEGNAN                       BL,"(34.006, -118.3315)",0,0,1,0
110506061,2/10/2011,2/2/2011,1830,5,Harbor,529,310,BURGLARY,0344 0358 1601,36,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,700    FLINT                        AV,,"(33.7792, -118.2493)",0,1,0,0
101804607,1/10/2010,1/8/2010,1700,18,Southeast,1823,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1202,65,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,10300    TOWNE                        AV,,"(33.9429, -118.2673)",0,0,1,0
